English,Polish
shouldn't,Nie powinno
half,połowa
side,bok
yours,Twój
moment,za chwilę
sleep,spać
read,czytać
where's,Gdzie jest
started,zaczęła się
young,młody
men,mężczyźni
sounds,Dźwięki
lucky,Szczęściarz
pick,wybierać
sometimes,czasami
bed,łóżko
also,Również
date,data
line,linia
plan,plan
hours,godziny
lose,stracić
fire,ogień
free,darmowy
hands,ręce
serious,poważny
shit,gówno
behind,za
inside,w środku
high,wysoki
ahead,dalej
week,tydzień
wonderful,wspaniale
fight,walka
past,po
cut,skaleczenie
quite,całkiem
number,numer
he'll,piekło
sick,chory
it'll,będzie
game,gra
eat,jeść
nobody,nikt
goes,idzie
death,śmierć
along,przed siebie
save,ratować
seems,wydaje się
finally,wreszcie
lives,zyje
worried,zmartwiony
upset,smutny
met,spotkał
book,książka
brought,przyniósł
seem,wydać się
sort,sortować
safe,bezpieczny
living,żyjący
children,dzieci
weren't,nie było
leaving,odjazd
front,przód
shot,strzał
loved,kochany
asking,pytając
running,działanie
clear,jasne
figure,postać
hot,gorący
felt,filc
six,sześć
parents,rodzice
drink,drink
absolutely,absolutnie
how's,Jak
daddy,tatuś
sweet,Słodkie
alive,żywy
sense,sens
meant,oznaczał
happens,dzieje się
special,specjalny
bet,Zakład
blood,krew
ain't,nie
kidding,żart
lie,kłamstwo
full,pełny
meeting,spotkanie
dear,droga
coffee,Kawa
seeing,widzenie
sound,dźwięk
fault,wada
water,woda
fuck,pierdolić
ten,dziesięć
women,kobiety
welcome,Witam
buy,Kup
months,miesiące
hour,godzina
speak,mówić
lady,dama
Jen,Jen
thinks,myśli
Christmas,Boże Narodzenie
body,ciało
order,zamówienie
outside,poza
hang,powiesić
possible,możliwy
worse,gorzej
company,firma
mistake,błąd
handle,uchwyt
spend,spędzić
totally,całkowicie
giving,dający
control,kontrola
here's,Oto
marriage,małżeństwo
realize,realizować
power,moc
president,prezydent
unless,chyba że
sex,seks
girls,dziewczyny
send,wysłać
needed,potrzebne
taken,zajęty
died,zmarł
scared,przestraszony
picture,obrazek
talked,rozmawiałem
ass,tyłek
hundred,sto
changed,zmienione
completely,całkowicie
explain,wyjaśnić
playing,gra
certainly,z pewnością
sign,podpisać
boys,chłopcy
relationship,relacja
loves,kocha
fucking,pierdolony
hair,włosy
lying,kłamliwy
choice,wybór
anywhere,gdziekolwiek
secret,sekret
future,przyszły
weird,dziwny
luck,szczęście
turned,obrócony
known,znany
touch,dotykać
kiss,pocałunek
questions,pytania
obviously,oczywiście
wonder,cud
pain,ból
calling,powołanie
somewhere,gdzieś
throw,rzucić
straight,proste
cold,przeziębienie
fast,szybki
words,słowa
food,jedzenie
none,Żaden
drive,prowadzić
feelings,uczucia
they'll,Będą
worked,pracował
marry,ożenić
light,światło
test,test
drop,upuszczać
cannot,Nie mogę
Frank,Szczery
sent,wysłano
city,Miasto
dream,śnić
protect,chronić
twenty,dwadzieścia
class,klasa
surprise,niespodzianka
its,jego
sweetheart,kochanie
forever,na zawsze
poor,słaby
looked,wyglądał
mad,szalony
except,oprócz
gun,pistolet
y'know,Ty wiesz
dance,taniec
takes,trwa
appreciate,doceniać
especially,szczególnie
situation,sytuacja
besides,oprócz
weeks,tygodnie
pull,ciągnąć
himself,samego siebie
hasn't,nie
act,akt
worth,wartość
Sheridan,Sheridan
amazing,zdumiewający
top,Top
given,dany
expect,oczekiwać
rather,raczej
involved,zaangażowany
swear,przeklinać
piece,kawałek
busy,zajęty
law,prawo
decided,zdecydowany
happening,wydarzenie
movie,film
we'd,poślubić
catch,złapać
country,kraj
less,mniej
perhaps,być może
step,krok
fall,spadek
watching,oglądanie
kept,trzymane
darling,kochanie
dog,pies
Ms.,Pani
win,wygrać
air,powietrze
honor,zaszczyt
personal,osobisty
moving,poruszający
till,do
admit,przyznawać
problems,problemy
murder,morderstwo
strong,silny
he'd,On był
evil,zło
definitely,Zdecydowanie
feels,odczucia
information,Informacja
honest,uczciwy
eye,oko
broke,zepsuł się
missed,pominięty
longer,dłużej
dollars,dolary
tired,zmęczony
evening,wieczór
human,człowiek
starting,startowy
red,czerwony
entire,Cały
trip,wycieczka
club,Klub
suppose,przypuszczać
calm,spokojna
imagine,wyobrażać sobie
fair,sprawiedliwy
caught,złapany
blame,winić
street,ulica
sitting,posiedzenie
favor,przychylność
apartment,apartament
court,Sąd
terrible,straszny
clean,czysty
learn,uczyć się
works,Pracuje
relax,zrelaksować się
million,milion
charity,jałmużna
accident,wypadek
wake,budzić
prove,udowodnić
smart,mądry
message,wiadomość
missing,zaginiony
forgot,zapomniałem
small,mały
interested,zainteresowany
table,stół
become,stać się
mouth,usta
pregnant,w ciąży
middle,środek
ring,dzwonić
careful,ostrożny
shall,być
dude,koleś
team,zespół
ride,jeździć
figured,wzorzysty
wear,nosić
shoot,strzelać
stick,stick
follow,śledzić
angry,zły
instead,zamiast
buddy,kumpel
write,pisać
stopped,zatrzymany
early,wczesny
ran,biegł
war,wojna
standing,na stojąco
forgive,przebaczyć
jail,więzienie
wearing,ma na sobie
ladies,damski
kinda,poniekąd
lunch,obiad
eight,osiem
hoping,mając nadzieję
thousand,tysiąc
ridge,grzbiet
music,muzyka
Luke,Łukasz
paper,papier
tough,trudny
tape,taśma
state,państwo
count,liczyć
college,Szkoła Wyższa
boyfriend,chłopak
proud,dumny
agree,Zgodzić się
birthday,urodziny
bill,rachunek
seven,siedem
they've,oni
history,historia
share,dzielić
offer,oferta
hurry,spieszyć się
feet,stopy
wondering,zastanawianie się
simple,prosty
decision,decyzja
building,budynek
ones,te
finish,koniec
voice,głos
herself,się
would've,byłby
list,lista
mess,bałagan
deserve,zasługiwać
evidence,dowód
cute,ładny
dress,sukienka
interesting,ciekawe
hotel,hotel
enjoy,smacznego
quiet,cichy
concerned,zainteresowany
road,droga
staying,przebywający
short,niski
beat,bić
sweetie,kochanie
mention,wzmianka
clothes,odzież
finished,skończone
fell,spadł
neither,żaden
fix,naprawić
respect,Poszanowanie
spent,zużyty
prison,więzienie
attention,Uwaga
holding,trzymać
calls,połączenia
near,Blisko
surprised,zaskoczony
bar,bar
pass,podawać
keeping,konserwacja
gift,prezent
hadn't,nie
putting,umieszczanie
dark,ciemny
self,samego siebie
owe,być winnym
using,za pomocą
ice,lód
helping,porcja jedzenia
bitch,suka
normal,normalna
aunt,ciotka
lawyer,prawnik
apart,oprócz
certain,pewny
plans,plany
girlfriend,dziewczyna
floor,piętro
whether,czy
everything's,wszystkie rzeczy
present,teraźniejszość
earth,Ziemia
private,prywatny
box,skrzynka
cover,pokrywa
judge,sędzia
upstairs,na górę
sake,wzgląd
mommy,mamusia
possibly,prawdopodobnie
worst,najgorszy
